,Ticker,Code
141,eog,821189
142,wm,823768
143,pbcry,1463157
144,cp,16875
145,idexy,1438656
146,cci,1051470
147,pnc,713676
148,fisv,798354
149,cme,1156375
150,googl,1652044
151,usb,36104
152,chtr,1091667
153,bx,1393818
154,mmm,66740
155,csx,277948
156,mufg,67088
157,bns,9631
158,d,715957
159,hca,860730
160,sftby,1065521
161,uber,1543151
162,tfc,92230
163,amzn,1018724
164,team,1650372
165,hum,49071
166,gd,40533
167,cnq,1017413
168,cl,21665
169,vale,917851
170,bmo,927971
171,aon,315293
172,dmlry,1067318
173,itw,49826
174,oxy,797468
175,snow,1640147
176,bsx,885725
177,atvi,718877
178,cta-pa,30554
179,pxd,1038357
180,f,37996
181,ew,1099800
182,mpc,1510295
183,gm,1467858
184,mu,723125
185,shw,89800
186,lrcx,707549
187,nsc,702165
188,ubs,1610520
189,ntes,1110646
190,epd,1061219
191,etn,1551182
192,dg,29534
193,slb,87347
194,abb,1091587
195,eqix,1101239
196,ice,1571949
197,met,1099219
198,mrna,1682852
199,apd,2969
200,psa,1393311
201,sre,1032208
202,tri,1075124
203,fdx,1048911
204,amov,1129137
205,mar,1048286
206,kdp,1418135
207,rbgly,1420798
208,mco,1059556
209,fis,1136893
210,mck,927653
211,klac,319201
212,ntr,1725964
213,cnc,1071739
214,aep,4904
215,itub,1132597
216,enlay,1096200
217,race,1648416
218,relx,929869
219,meli,1099590
220,prndy,899108
221,snps,883241
222,cmg,1058090
223,emr,32604
224,vmw,1124610
225,adm,7084
226,dvn,1090012
227,trp,1232384
228,orly,898173
229,ecl,31462
230,mnst,865752
231,rsg,1060391
232,su,311337
233,gis,40704
234,ctva,1755672
235,hsy,47111
236,cdns,813672
237,abev,1565025
238,stz,16918
239,aig,5272
240,bidu,1329099
241,san,891478
242,lhx,202058
243,edu,1372920
244,adsk,769397
245,azo,866787
246,lulu,1397187
247,cof,927628
248,fcx,831259
249,lng,3570
250,aph,820313
251,ngg,1004315
252,vlo,1035002
253,payx,723531
254,bsbr,1471055
255,hmc,715153
256,nxpi,1413447
257,stla,1605484
258,khc,1637459
259,bce,718940
260,exc,1109357
261,enph,1463101
262,tak,1395064
263,kmi,1506307
264,ctas,723254
265,smfg,1022837
266,crwd,1535527
267,e,1002242
268,kmb,55785
269,syy,96021
270,tel,1385157
271,rop,882835
272,trv,86312
273,gld,1222333
274,msi,68505
275,a,1090872
276,wmb,107263
277,iqv,1478242
278,xel,72903
279,afl,4977
280,mrvl,1835632
281,jci,833444
282,lyg,1160106
283,hes,4447
284,wday,1327811
285,wcn,1318220
286,et,1276187
287,ajg,354190
288,gpn,1123360
289,cve,1475260
290,tt,1466258
291,hlt,1585689
292,msci,1408198
293,ing,1039765
294,all,899051
295,bk,1390777
296,bf-a,14693
297,scco,1001838
298,nwg,844150
299,anet,1596532
300,o,726728
301,psx,1534701
302,mchp,827054
303,bbd,1160330
304,kr,56873
305,ea,712515
306,rivn,1874178
307,carr,1783180
308,pru,1137774
309,bntx,1776985
310,dow,1751788
311,ed,1047862
312,ph,76334
313,apo,1858681
314,nio,1736541
315,vod,839923
316,se,1703399
317,nem,1164727
318,yum,1041061
319,twtr,1418091
320,peg,788784
321,mplx,1552000
322,bcs,312069
323,mfc,1086888
324,alb,915913
325,nue,73309
326,sbac,1034054
327,alc,1167379
328,ctsh,1058290
329,rmd,943819
330,spg,1063761
331,tdg,1260221
332,stm,932787
333,bbva,842180
334,ttd,1671933
335,imo,49938
336,ifnny,1107457
337,cpng,1834584
338,sq,1512673
339,wec,783325
340,dlr,1297996
341,well,766704
342,danoy,1048515
343,rost,745732
344,ilmn,1110803
345,gfs,1709048
346,amp,820027
347,dltr,935703
348,iau,1278680
349,biib,875045
350,puk,1116578
351,lvs,1300514
352,keys,1601046
353,es,72741
354,cmi,26172
355,sqm,909037
356,ddog,1561550
357,pcar,75362
358,idxx,874716
359,vrsk,1442145
360,dfs,1393612
361,wba,1618921
362,bax,10456
363,tlk,1001807
364,pcg,1004980
365,odfl,878927
366,tu,868675
367,on,1097864
368,otis,1781335
369,cht,1132924
370,hpq,47217
371,abc,1140859
372,ibkr,1381197
373,kkr,1404912
374,mfg,1335730
375,ppery,1461748
376,hcmly,948696
377,dell,1571996
378,csgp,1057352
379,ppg,79879
380,mtd,1037646
381,dd,1666700
382,rok,1024478
383,expgy,1376891
384,avb,915912
385,caixy,1535628
386,ame,1037868
387,baesy,895564
388,ceg,1868275
389,dnbby,1498632
390,oke,1039684
391,glw,24741
392,wit,1123799
393,nok,924613
394,gww,277135
395,eqr,906107
396,rweoy,939380
397,crh,849395
398,fast,815556
399,lcid,1811210
400,gold,756894
401,veev,1393052
402,awk,1410636
403,iff,51253
404,oran,1038143
405,cqp,1383650
406,ebay,1065088
407,li,1791706
408,hal,45012
409,frc,1132979
410,cprt,900075
411,lyb,1489393
412,cbre,1138118
413,tsn,100493
414,aptv,1521332
415,stt,93751
416,eix,827052
417,clr,732834
418,sgen,1060736
419,slf,1097362
420,trow,1113169
421,nu,1691493
422,dte,936340
423,dia,1041130
424,rblx,1315098
425,ferg,1832433
426,ctra,858470
427,exr,1289490
428,alny,1178670
429,hrl,48465
430,it,749251
431,dhi,882184
432,zs,1713683
433,mdy,936958
434,fitb,35527
435,fang,1539838
436,zbh,1136869
437,mtb,36270
438,k,55067
439,wegzy,1445166
440,gmab,1434265
441,arzgy,1379235
442,zm,1585521
443,caj,16988
444,siri,908937
445,fmx,1061736
446,aee,1002910
447,wy,106535
448,epam,1352010
449,are,1035443
450,etr,65984
451,ckhuy,1637120
452,ftv,1659166
453,fe,1031296
454,cdw,1402057
455,ulta,1403568
456,zto,1677250
457,vwdry,1330306
458,efx,33185
459,eric,717826
460,wtw,1140536
461,fnv,1456346
462,len,920760
463,hig,874766
464,rjf,720005
465,sivb,719739
466,lgfry,1554394
467,gwlif,850918
468,invh,1687229
469,dash,1792789
470,tef,814052
471,gpc,40987
472,lnngy,1447629
473,cm,1045520
474,luv,92380
475,ccep,1650107
476,cf,1324404
477,ppl,922224
478,yumc,1673358
479,vmc,1396009
480,net,1477333
481,lh,920148
482,ec,1444406
483,tsco,916365
484,rf,1281761
485,dal,27904
486,rci,733099
487,bkr,1701605
488,ttm,926042
489,payc,1590955
490,anss,1013462
491,mlm,916076
492,codyy,1012037
493,hban,49196
494,mkc,63754
495,dre,783280
496,uri,1067701
497,mro,101778
498,vici,1705696
499,lyv,1335258
500,pfg,1126328
501,poahy,1450346
502,fts,1666175
503,wst,105770
504,cnp,1130310
505,coin,1679788
506,tscdy,885834
507,ir,1699150
508,moh,1179929
509,ste,1757898
510,mt,1243429
511,spot,1639920
512,algn,1097149
513,mos,1285785
514,ntrs,73124
515,argx,1697862
516,pwr,1050915
517,pba,1546066
518,vrsn,1014473
519,mpwr,1280452
520,cms,811156
521,hei,46619
522,chd,313927
523,db,1159508
524,ptaiy,1455967
525,snap,1564408
526,maa,912595
527,br,1383312
528,agr,1634997
529,atasy,1437775
530,foxa,1754301
531,vtr,740260
532,gib,1061574
533,ix,1070304
534,ui,1511737
535,cah,721371
536,lpla,1397911
537,qsr,1618756
538,pcrfy,63271
539,jbht,728535
540,acgl,947484
541,eqt,33213
542,rprx,1802768
543,amcr,1748790
544,wat,1000697
545,podd,1145197
546,syf,1601712
547,aes,874761
548,panw,1327567
549,zi,1794515
550,anyyy,1700171
551,sui,912593
552,dov,29905
553,rol,84839
554,bby,764478
555,tdy,1094285
556,bro,79282
557,clx,21076
558,teck,886986
559,bgne,1651308
560,holx,859737
561,xyl,1524472
562,iclr,1060955
563,ess,920522
564,dri,940944
565,hpe,1645590
566,plug,1093691
567,elp,1041792
568,fds,1013237
569,tcom,1269238
570,key,91576
571,tsgty,939383
572,grmn,1121788
573,pins,1506293
574,mga,749098
575,pki,31791
576,flt,1175454
577,swks,4127
578,trgp,1389170
579,cnhi,1567094
580,sedg,1419612
581,expd,746515
582,wab,943452
583,mtch,891103
584,expe,1324424
585,bill,1786352
586,mkl,1096343
587,ts,1190723
588,lbrda,1611983
589,bmrn,1048477
590,mgm,789570
591,cag,23217
592,cinf,20286
593,cfg,759944
594,pltr,1321655
595,swmay,1011218
596,vfc,103379
597,chkp,1015922
598,zbra,877212
599,ryaay,1038683
600,csl,790051
601,umc,1033767
602,iex,832101
603,snmry,1437771
604,evrg,1711269
605,mdb,1441816
606,phg,313216
607,wpc,1025378
608,hldcy,811250
609,irm,1020569
610,j,52988
611,ip,51434
612,ntap,1002047
613,ctlt,1596783
614,lsxma,1560385
615,dgx,1022079
616,incy,879169
617,chwy,1766502
618,ato,731802
619,stld,1022671
620,lnt,352541
621,sjm,91419
622,azpn,1897982
623,rkt,1805284
624,trmb,864749
625,tw,1758730
626,tyl,860731
627,avy,8818
628,splk,1353283
629,coo,711404
630,ttwo,946581
631,omc,29989
632,hwm,4281
633,smpny,1669414
634,sgioy,1281721
635,hznp,1492426
636,akam,1086222
637,hubs,1404655
638,jkhy,779152
639,wpm,1323404
640,iep,813762
641,lkq,1065696
642,etsy,1370637
643,jrony,1438077
644,cpb,16732
645,bio,12208
646,avtr,1722482
647,txt,217346
648,xpev,1810997
649,znh,1041668
650,l,60086
651,fslr,1274494
652,wmg,1319161
653,chrw,1043277
654,swk,93556
655,nvr,906163
656,pcty,1591698
657,stx,1137789
658,udr,74208
659,twlo,1447669
660,peak,765880
661,kb,1445930
662,kmx,1170010
663,fmc,37785
664,tpl,1811074
665,ssnc,1402436
666,wolf,895419
667,prdsy,1527249
668,ptc,857005
669,ter,97210
670,ebr,1439124
671,ovv,1792580
672,viv,1066119
673,cpt,906345
674,pool,945841
675,gnrc,1474735
676,shg,1263043
677,tru,1552033
678,apa,1841666
679,ares,1176948
680,kof,910631
681,els,895417
682,ndsn,72331
683,ldos,1336920
684,rcl,884887
685,hst,1070750
686,bxp,1037540
687,ctxs,877890
688,aci,1646972
689,rgen,730272
690,bg,1144519
691,frfhf,915191
692,nice,1003935
693,cs,1159510
694,kim,879101
695,ccl,815097
696,dpz,1286681
697,cnttq,1652499
698,cboe,1374310
699,fhn,36966
700,sjr,932872
701,gddy,1609711
702,entg,1101302
703,bip,1406234
704,pkg,75677
705,ual,100517
706,nlok,849399
707,pkx,889132
708,fico,814547
709,ar,1433270
710,cck,1219601
711,tech,842023
712,bah,1443646
713,ben,38777
714,atlky,748954
715,vst,1692819
716,chk,895126
717,dar,916540
718,wlk,1262823
719,abmd,815094
720,hubb,48898
721,wrb,11544
722,mas,62996
723,eqh,1333986
724,docu,1261333
725,amh,1562401
726,htht,1483994
727,rpm,110621
728,glpi,1575965
729,wdc,106040
730,emraf,1127248
731,ce,1306830
732,ssl,314590
733,erie,922621
734,ptbry,1504122
735,vtrs,1792044
736,wtrg,78128
737,y,775368
738,bouyy,1445475
739,ccj,1009001
740,sna,91440
741,asx,1122411
742,wes,1423902
743,jxhly,1487533
744,cea,1030475
745,ni,1111711
746,aer,1378789
747,lw,1679273
748,fnf,1331875
749,ally,40729
750,suz,909327
751,cuk,1125259
752,re,1095073
753,cg,1527166
754,rs,861884
755,nfe,1749723
756,u,1810806
757,afg,1042046
758,dqjcy,1446597
759,tap,24545
760,grab,1855612
761,dt,1773383
762,mmp,1126975
763,nrg,1013871
764,ipg,51644
765,xp,1787425
766,emn,915389
767,tfx,96943
768,ggg,42888
769,icl,941221
770,sbny,1288784
771,snn,845982
772,has,46080
773,mgddy,896076
774,nmr,1163653
775,bldr,1316835
776,nly,1043219
777,bep,1533232
778,wso,105016
779,ewbc,1069157
780,cma,28412
781,bki,1627014
782,ihg,858446
783,aap,1158449
784,zshgy,1495686
785,bj,1531152
786,cna,21175
787,bntgy,1533945
788,gl,320335
789,crl,1100682
790,h,1468174
791,tost,1650164
792,uhal,4457
793,ateyy,1158838
794,qgen,1015820
795,ndaq,1120193
796,nwsa,1564708
797,acm,868857
798,wrk,1732845
799,bap,1001290
800,nbix,914475
801,wpp,806968
802,lbtya,1570585
803,wsm,719955
804,dox,1062579
805,aem,2809
806,sci,89089
807,swav,1642545
808,reg,910606
809,nlsn,1492633
810,hsic,1000228
811,czr,1590895
812,uthr,1082554
813,roku,1428439
814,dks,1089063
815,bhvn,1689813
816,jhx,1159152
817,rrx,82811
818,phm,822416
819,fms,1333141
820,agl,1831097
821,morn,1289419
822,teva,818686
823,bsy,1031308
824,gfl,1780232
825,mktx,1278021
826,okta,1660134
827,armk,1584509
828,gshn,1639327
829,lsi,944314
830,srpt,873303
831,bbwi,701985
832,dbrg,1679688
833,wms,1604028
834,lamr,1090425
835,cube,1298675
836,nvcr,1645113
837,asxfy,1449003
838,dva,927066
839,wsc,1647088
840,ttc,737758
841,qrvo,1604778
842,hood,1783879
843,aeg,769218
844,lnvgy,932477
845,zg,1617640
846,bch,1161125
847,jazz,1232524
848,deck,910521
849,mtn,812011
850,hii,1501585
851,tfii,1588823
852,zen,1463172
853,burl,1579298
854,aal,6201
855,zion,109380
856,ffiv,1048695
857,lumn,18926
858,lii,1069202
859,dish,1001082
860,tpr,1116132
861,car,723612
862,app,1751008
863,cday,1725057
864,jnpr,1043604
865,bdnny,1446457
866,glob,1557860
867,bz,1842827
868,rexr,1571283
869,cfr,39263
870,aqn,1174169
871,htz,1657853
872,vivhy,1127055
873,lnc,59558
874,bwa,908255
875,aiz,1267238
876,manh,1056696
877,whr,106640
878,lu,1816007
879,kep,887225
880,rga,898174
881,dxcm,1093557
882,arcc,1287750
883,dscsy,1671750
884,snx,1177394
885,stor,1538990
886,paa,1070423
887,eslt,1027664
888,gtlb,1653482
889,rhi,315213
890,wfg,1402388
891,glpey,1385535
892,rdy,1135951
893,masi,937556
894,cbsh,22356
895,remyy,1552653
896,jbl,898293
897,flex,866374
898,g,1398659
899,fnd,1507079
900,aos,91142
901,prymy,1437672
902,oc,1370946
903,slvyy,930826
904,alle,1579241
905,jll,1037976
906,tme,1744676
907,dbx,1467623
908,pnw,764622
909,pstg,1474432
910,unm,5513
911,ftnt,1262039
912,uso,1327068
913,adooy,1489079
914,brkr,1109354
915,pag,1019849
916,kkoyy,1436794
917,fcnca,798941
918,axon,1069183
919,lea,842162
920,swch,1710583
921,jef,96223
922,oge,1021635
923,logi,1032975
924,mpw,1287865
925,fbhs,1519751
926,rrc,315852
927,bsmx,1698287
928,leco,59527
929,aa,1675149
930,knx,1492691
931,grfs,1438569
932,avlr,1348036
933,agco,880266
934,path,1734722
935,casy,726958
936,uelmo,100826
937,chng,1756497
938,uhs,352915
939,dcp,1338065
940,otex,1002638
941,midd,769520
942,hrb,12659
943,dlo,1846832
944,nxst,1142417
945,ugi,884614
946,aseky,1450206
947,cms-pb,201533
948,pso,938323
949,dkng,1883685
950,tixt,1825155
951,estc,1707753
952,frt,34903
953,oln,74303
954,swn,7332
955,skm,1015650
956,mat,63276
957,run,1469367
958,nnn,751364
959,chdn,20212
960,seic,350894
961,wal,1212545
962,five,1177609
963,clf,764065
964,ymm,1838413
965,olpx,1868726
966,celh,1341766
967,gtls,892553
968,pfgc,1618673
969,miufy,1447113
970,pen,1321732
971,ivz,914208
972,cold,1455863
973,wynn,1174922
974,achc,1520697
975,see,1012100
976,pcor,1611052
977,clvt,1764046
978,alsmy,1062066
979,ggb,1073404
980,pac,1347557
981,s,1583708
982,cgnx,851205
983,che,19584
984,dlb,1308547
985,lad,1023128
986,bsac,1027552
987,jpxgy,1600520
988,mdiby,1379481
989,ogn,1821825
990,bery,1378992
991,ohi,888491
992,an,350698
993,mtlhy,1446418
994,rba,1046102
995,krtx,1771917
996,musa,1573516
997,pnr,77360
998,xray,818479
999,cacc,885550
1000,ttek,831641
1001,vips,1529192
1002,elan,1739104
1003,nwl,814453
1004,stwd,1465128
1005,voya,1535929
1006,exas,1124140
1007,cflt,1699838
1008,levi,94845
1009,rnr,913144
1010,gpk,1408075
1011,bepc,1791863
1012,bili,1723690
1013,kbr,1357615
1014,lscc,855658
1015,osh,1564406
1016,arw,7536
1017,cpri,1530721
1018,rkuny,1294591
1019,dxc,1688568
1020,atr,896622
1021,isday,1224306
1022,nep,1603145
1023,roll,1324948
1024,mtdr,1520006
1025,nov,1021860
1026,rl,1037038
1027,mhk,851968
1028,adt,1703056
1029,gfi,1172724
1030,yndx,1513845
1031,ori,74260
1032,afrm,1820953
1033,cib,1071371
1034,pii,931015
1035,ions,874015
1036,wcc,929008
1037,usfd,1665918
1038,legn,1801198
1039,fr,921825
1040,crcby,1553915
1041,wex,1309108
1042,pb,1068851
1043,mssmy,1710864
1044,xm,1747748
1045,cvna,1690820
1046,oukpy,1436786
1047,clh,822818
1048,edr,1766363
1049,accyy,1049183
1050,chh,1046311
1051,cien,936395
1052,asr,1123452
1053,dseey,1481045
1054,futu,1754581
1055,egp,49600
1056,alv,1034670
1057,nfg,70145
1058,nclh,1513761
1059,caci,16058
1060,cabo,1632127
1061,airc,1820877
1062,st,1477294
1063,iot,1642896
1064,thc,70318
1065,pnfp,1115055
1066,dci,29644
1067,chpt,1777393
1068,bpop,763901
1069,sbs,1170858
1070,csan,1430162
1071,eme,105634
1072,hog,793952
1073,coty,1024305
1074,sbsw,1786909
1075,bokf,875357
1076,dnb,1799208
1077,cnxc,1803599
1078,apls,1492422
1079,wh,1722684
1080,txrh,1289460
1081,brx,1581068
1082,pdce,77877
1083,sf,720672
1084,mur,717423
1085,ppc,802481
1086,gmed,1237831
1087,trq,1158041
1088,shlx,1610466
1089,asnd,1612042
1090,gntx,355811
1091,itt,216228
1092,vac,1524358
1093,gil,1061894
1094,son,91767
1095,uwmc,1783398
1096,mndy,1845338
1097,docs,1516513
1098,mtz,15615
1099,ffin,36029
1100,cybr,1598110
1101,hqy,1428336
1102,fybr,20520
1103,phi,78150
1104,mdu,67716
1105,byd,906553
1106,rcm,1910851
1107,wf,1264136
1108,qlys,1107843
1109,slv,1330568
1110,rgld,85535
1111,kt,892450
1112,gh,1576280
1113,wwd,108312
1114,halo,1159036
1115,irdm,1418819
1116,infa,1868778
1117,agnc,1423689
1118,snv,18349
1119,fsk,1422183
1120,vmi,102729
1121,dsgx,1050140
1122,fivn,1288847
1123,reyn,1786431
1124,alk,766421
1125,krc,1025996
1126,lyft,1759509
1127,dooo,1748797
1128,opch,1014739
1129,hun,1307954
1130,cw,26324
1131,nvst,1757073
1132,onon,1858985
1133,crsp,1674416
1134,sndl,1766600
1135,ssb,764038
1136,mp,1801368
1137,exls,1297989
1138,axta,1616862
1139,nvt,1720635
1140,xpo,1166003
1141,plnt,1637207
1142,gbci,868671
1143,timb,1826168
1144,ash,1674862
1145,skx,1065837
1146,hcp,1720671
1147,lnth,1521036
1148,bc,14930
1149,bld,1633931
1150,tx,1342874
1151,wu,1365135
1152,iac,1800227
1153,cccs,1818201
1154,dds,28917
1155,ayi,1144215
1156,faf,1472787
1157,dtm,1842022
1158,cae,1173382
1159,rh,1528849
1160,knsl,1669162
1161,lstr,853816
1162,pycr,1839439
1163,drvn,1804745
1164,ingr,1046257
1165,cc,1627223
1166,tmbby,1531740
1167,au,1067428
1168,ccoey,1551467
1169,flo,1128928
1170,gwre,1528396
1171,lite,1633978
1172,x,1163302
1173,hli,1302215
1174,post,1530950
1175,cr,25445
1176,synh,1610950
1177,medp,1668397
1178,fsv,1637810
1179,stag,1479094
1180,insp,1609550
1181,sm,893538
1182,exel,939767
1183,ida,1057877
1184,ozk,1569650
1185,tpx,1206264
1186,lthm,1742924
1187,stn,1131383
1188,osk,775158
1189,cx,1076378
1190,civi,1509589
1191,lfus,889331
1192,ora,1296445
1193,prgo,1585364
1194,saic,1571123
1195,trex,1069878
1196,coup,1385867
1197,fcn,887936
1198,slab,1038074
1199,penn,921738
1200,tmx,1428875
1201,slgn,849869
1202,dava,1656081
1203,src,1308606
1204,wwe,1091907
1205,nyt,71691
1206,tol,794170
1207,pags,1712807
1208,ntnx,1618732
1209,adc,917251
1210,lhcg,1303313
1211,sofi,1818874
1212,cade,1299939
1213,nati,935494
1214,tdoc,1477449
1215,ntla,1652130
1216,pri,1475922
1217,amg,1004434
1218,amc,1411579
1219,site,1650729
1220,glbe,1835963
1221,w,1616707
1222,mksi,1049502
1223,ehc,785161
1224,vno,899689
1225,bncdy,1667075
1226,qs,1811414
1227,orcc,1655888
1228,amn,1142750
1229,tnet,937098
1230,ubsi,729986
1231,gxo,1852244
1232,zlab,1704292
1233,saia,1177702
1234,m,794367
1235,vvv,1674910
1236,sgfy,1828182
1237,bwxt,1486957
1238,enlc,1592000
1239,wtfc,1015328
1240,cigi,913353
1241,lysdy,1444327
1242,am,1623925
1243,rli,84246
1244,hxl,717605
1245,sigi,230557
1246,swx,1692115
1247,leg,58492
1248,vrt,1674101
1249,tsem,928876
1250,tkr,98362
1251,bkh,1130464
1252,thg,944695
1253,vly,714310
1254,asgn,890564
1255,hgv,1674168
1256,ntra,1604821
1257,bxmt,1061630
1258,smar,1366561
1259,oled,1005284
1260,hp,46765
1261,tgna,39899
1262,asan,1477720
1263,sim,887153
1264,ryn,52827
1265,stvn,1849853
1266,expo,851520
1267,colm,1050797
1268,ensg,1125376
1269,docn,1582961
1270,bkgfy,1447137
1271,msa,66570
1272,mfa,1055160
1273,asai,1834048
1274,mtg,876437
1275,rog,84748
1276,rhp,1040829
1277,lpx,60519
1278,jsgry,1442656
1279,bmbl,1830043
1280,dna,1830214
1281,ipgp,1111928
1282,crk,23194
1283,gds,1526125
1284,iaa,1745041
1285,srcl,861878
1286,exp,918646
1287,jscpy,1449005
1288,lanc,57515
1289,omf,1584207
1290,ivr,1437071
1291,embk,1827980
1292,cytk,1061983
1293,ryan,1849253
1294,cmc,22444
1295,spwr,867773
1296,esi,1590714
1297,axs,1214816
1298,nvei,1765159
1299,mrtx,1576263
1300,crox,1334036
1301,irtc,1388658
1302,ufpi,912767
1303,eeft,1029199
1304,slm,1032033
1305,be,1664703
1306,dv,1819928
1307,ayx,1689923
1308,novt,1076930
1309,sfbs,1430723
1310,prva,1759655
1311,por,784977
1312,nycb,910073
1313,adrzy,1436467
1314,amkr,1047127
1315,chx,1723089
1316,spsc,1092699
1317,trno,1476150
1318,phys,1477049
1319,aqua,1604643
1320,cere,1805387
1321,mituy,1446420
1322,wts,795403
1323,lkncy,1767582
1324,hwc,750577
1325,val,314808
1326,wen,30697
1327,gbt,1629137
1328,bak,1071438
1329,ntco,1776967
1330,wix,1576789
1331,staa,718937
1332,pltk,1828016
1333,umbf,101382
1334,wbs,801337
1335,esnt,1448893
1336,cwen,1567683
1337,eva,1592057
1338,crus,772406
1339,bpmc,1597264
1340,seas,1564902
1341,shc,1822479
1342,msm,1003078
1343,algm,866291
1344,azihy,1533475
1345,psn,275880
1346,den,945764
1347,aso,1817358
1348,njr,356309
1349,dq,1477641
1350,wb,1595761
1351,syna,817720
1352,athm,1527636
1353,mq,1522540
1354,cwst,911177
1355,shop,1594805
1356,ogs,1587732
1357,unvr,1494319
1358,ubsfy,1446702
1359,tho,730263
1360,bxsl,1736035
1361,seb,88121
1362,pinc,1577916
1363,tenb,1660280
1364,ab,825313
1365,ftch,1740915
1366,curlf,1756770
1367,fti,1681459
1368,rng,1384905
1369,cig,1157557
1370,mgy,1698990
1371,nsa,1618563
1372,he,354707
1373,auy,1264089
1374,wtm,776867
1375,cbt,16040
1376,is,1837430
1377,kgc,701818
1378,atus,1702780
1379,irt,1466085
1380,wing,1636222
1381,beam,1745999
1382,etrn,1747009
1383,itci,1567514
1384,al,1487712
1385,frsh,1544522
1386,krg,1286043
1387,bl,1666134
1388,powi,833640
1389,bcpc,9326
1390,wns,1356570
1391,pnm,1108426
1392,jhg,1274173
1393,cpg,1545851
1394,mxchy,1435969
1395,sam,949870
1396,twks,1866550
1397,ait,109563
1398,vet,1293135
1399,coke,317540
1400,kex,56047
1401,iart,917520
1402,nsp,1000753
1403,four,1794669
1404,owl,1823945
1405,trtn,1660734
1406,cnm,1856525
1407,erf,1126874
1408,r,85961
1409,kss,885639
1410,cuz,25232
1411,avt,8858
1412,box,1372612
1413,awi,7431
1414,hae,313143
1415,ptcay,1547873
1416,bhf,1685040
1417,man,871763
1418,newr,1448056
1419,bfam,1437578
1420,ihcpf,1508633
1421,fele,38725
1422,fl,850209
1423,umpq,1077771
1424,amed,896262
1425,fizz,69891
1426,woof,1826470
1427,sndr,1692063
1428,ati,1018963
1429,homb,1331520
1430,fnb,37808
1431,mtsi,1493594
1432,tfsl,1381668
1433,dnp,806628
1434,act,1823529
1435,alks,1520262
1436,ncr,70866
1437,azta,933974
1438,laz,1311370
1439,pgny,1551306
1440,abcm,1492074
1441,pvh,78239
1442,duol,1562088
1443,sji,91928
1444,becn,1124941
1445,fcfs,840489
1446,lpl,1290109
1447,amrc,1488139
1448,dnli,1714899
1449,ebc,1810546
1450,ptct,1070081
1451,peco,1476204
1452,ambp,1845097
1453,altr,1701732
1454,msgs,1636519
1455,ago,1273813
1456,txg,1770787
1457,rdn,890926
1458,tndm,1438133
1459,mms,1032220
1460,esgr,1363829
1461,flr,1124198
1462,fn,1408710
1463,atkr,1666138
1464,nari,1531048
1465,oaofy,1058255
1466,uaa,1336917
1467,abg,1144980
1468,alsn,1411207
1469,gt,42582
1470,indb,776901
1471,dei,1364250
1472,arwr,879407
1473,igt,1619762
1474,grp-un,1564538
1475,cnx,1070412
